Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"F10,Absolute Quantification,""ABS"",""SF010"",Ch1Unknown,""v3v4"",""Manual"",3181,QX200 ddPCR EvaGreen Supermix,63620,,,3246,3149,17351,1245,,,,,,18596,,,,,,,,,,,,,,,,,,1,1,13004,23535,10269,22647,""Absolute Quantification Experiment"",,,,3200,0,,,,,,,,,,,,,"
"G10,Absolute Quantification,""ABS"",""SG010"",Ch1Unknown,""v3v4"",""Manual"",3550,QX200 ddPCR EvaGreen Supermix,71000,,,3650,3500,10904,562,,,,,,11466,,,,,,,,,,,,,,,,,,1,1,13004,19313,8882.7,18802,""Absolute Quantification Experiment"",,,,3600,0,,,,,,,,,,,,,"
"H10,Absolute Quantification,""ABS"",""SH010"",Ch1Unknown,""v3v4"",""Manual"",2688,QX200 ddPCR EvaGreen Supermix,53760,,,2745,2660,13679,1550,,,,,,15229,,,,,,,,,,,,,,,,,,1,1,13004,21787,10003,20587,""Absolute Quantification Experiment"",,,,2700,0,,,,,,,,,,,,,"
"A11,Absolute Quantification,""ABS"",""SA011"",Ch1Unknown,""v3v4"",""Manual"",2559,QX200 ddPCR EvaGreen Supermix,51180,,,2613,2532,12929,1657,,,,,,14586,,,,,,,,,,,,,,,,,,1,1,13004,23630,9884,22068,""Absolute Quantification Experiment"",,,,2600,0,,,,,,,,,,,,,"
"B11,Absolute Quantification,""ABS"",""SB011"",Ch1Unknown,""v3v4"",""Manual"",1430,QX200 ddPCR EvaGreen Supermix,28600,,,1459,1416,11249,4742,,,,,,15991,,,,,,,,,,,,,,,,,,1,1,13004,19898,10212,17026,""Absolute Quantification Experiment"",,,,1400,0,,,,,,,,,,,,,"
"C11,Absolute Quantification,""ABS"",""SC011"",Ch1Unknown,""v3v4"",""Manual"",2849,QX200 ddPCR EvaGreen Supermix,56980,,,2908,2820,15135,1474,,,,,,16609,,,,,,,,,,,,,,,,,,1,1,13004,20746,9559.9,19753,""Absolute Quantification Experiment"",,,,2900,0,,,,,,,,,,,,,"
"D11,Absolute Quantification,""ABS"",""SD011"",Ch1Unknown,""v3v4"",""Manual"",3140,QX200 ddPCR EvaGreen Supermix,62800,,,3210,3110,15443,1149,,,,,,16592,,,,,,,,,,,,,,,,,,1,1,13004,22048,10607,21256,""Absolute Quantification Experiment"",,,,3200,0,,,,,,,,,,,,,"
"E11,Absolute Quantification,""ABS"",""SE011"",Ch1Unknown,""v3v4"",""Manual"",2941,QX200 ddPCR EvaGreen Supermix,58820,,,3001,2911,15804,1414,,,,,,17218,,,,,,,,,,,,,,,,,,1,1,13004,21033,9832,20114,""Absolute Quantification Experiment"",,,,3000,0,,,,,,,,,,,,,"
"F11,Absolute Quantification,""ABS"",""SF011"",Ch1Unknown,""v3v4"",""Manual"",3360,QX200 ddPCR EvaGreen Supermix,67200,,,3440,3330,14311,870,,,,,,15181,,,,,,,,,,,,,,,,,,1,1,13004,23416,10037,22650,""Absolute Quantification Experiment"",,,,3400,0,,,,,,,,,,,,,"
"G11,Absolute Quantification,""ABS"",""SG011"",Ch1Unknown,""v3v4"",""Manual"",3000,QX200 ddPCR EvaGreen Supermix,60000,,,3063,2969,15527,1315,,,,,,16842,,,,,,,,,,,,,,,,,,1,1,13004,24935,10112,23778,""Absolute Quantification Experiment"",,,,3000,0,,,,,,,,,,,,,"
"H11,Absolute Quantification,""ABS"",""SH011"",Ch1Unknown,""v3v4"",""Manual"",3720,QX200 ddPCR EvaGreen Supermix,74400,,,3820,3670,13003,575,,,,,,13578,,,,,,,,,,,,,,,,,,1,1,13004,22443,10084,21920,""Absolute Quantification Experiment"",,,,3800,0,,,,,,,,,,,,,"
"H12,Absolute Quantification,""ABS"",""SH012"",Ch1Unknown,""v3v4"",""Manual"",2864,QX200 ddPCR EvaGreen Supermix,57280,,,2924,2834,14505,1394,,,,,,15899,,,,,,,,,,,,,,,,,,1,1,13004,24119,10012,22882,""Absolute Quantification Experiment"",,,,2900,0,,,,,,,,,,,,,"
"G12,Absolute Quantification,""ABS"",""SG012"",Ch1Unknown,""v3v4"",""Manual"",3112,QX200 ddPCR EvaGreen Supermix,62240,,,3178,3079,15739,1203,,,,,,16942,,,,,,,,,,,,,,,,,,1,1,13004,21636,10254,20828,""Absolute Quantification Experiment"",,,,3100,0,,,,,,,,,,,,,"
"F12,Absolute Quantification,""ABS"",""SF012"",Ch1Unknown,""v3v4"",""Manual"",3320,QX200 ddPCR EvaGreen Supermix,66400,,,3390,3290,16014,1011,,,,,,17025,,,,,,,,,,,,,,,,,,1,1,13004,25739,10215,24818,""Absolute Quantification Experiment"",,,,3400,0,,,,,,,,,,,,,"
"E12,Absolute Quantification,""ABS"",""SE012"",Ch1Unknown,""v3v4"",""Manual"",2966,QX200 ddPCR EvaGreen Supermix,59320,,,3029,2935,14919,1304,,,,,,16223,,,,,,,,,,,,,,,,,,1,1,13004,24561,9928.9,23385,""Absolute Quantification Experiment"",,,,3000,0,,,,,,,,,,,,,"
"D12,Absolute Quantification,""ABS"",""SD012"",Ch1Unknown,""v3v4"",""Manual"",3640,QX200 ddPCR EvaGreen Supermix,72800,,,3730,3590,13036,621,,,,,,13657,,,,,,,,,,,,,,,,,,1,1,13004,21880,10139,21346,""Absolute Quantification Experiment"",,,,3700,0,,,,,,,,,,,,,"
"C12,Absolute Quantification,""ABS"",""SC012"",Ch1Unknown,""v3v4"",""Manual"",2669,QX200 ddPCR EvaGreen Supermix,53380,,,2721,2642,15393,1777,,,,,,17170,,,,,,,,,,,,,,,,,,1,1,13004,23219,9935.5,21844,""Absolute Quantification Experiment"",,,,2700,0,,,,,,,,,,,,,"
"B12,Absolute Quantification,""ABS"",""SB012"",Ch1Unknown,""v3v4"",""Manual"",1674,QX200 ddPCR EvaGreen Supermix,33480,,,1712,1655,9315,2958,,,,,,12273,,,,,,,,,,,,,,,,,,1,1,13004,24127,10134,20754,""Absolute Quantification Experiment"",,,,1700,0,,,,,,,,,,,,,"
"A12,Absolute Quantification,""ABS"",""SA012"",Ch1Unknown,""v3v4"",""Manual"",3400,QX200 ddPCR EvaGreen Supermix,68000,,,3490,3350,10104,596,,,,,,10700,,,,,,,,,,,,,,,,,,1,1,13004,22013,10089,21349,""Absolute Quantification Experiment"",,,,3400,0,,,,,,,,,,,,,"
