Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"G10",Absolute Quantification,"ABS","MG010",Ch1Unknown,"v3v4","Manual",942,QX200 ddPCR EvaGreen Supermix,18840,,,962,932,9278,7559,,,,,,16837,,,,,,,,,,,,,,,,,,1,1,10368,22243,7044.3,15419,"Absolute Quantification Experiment",,,,950,0,,,,,,,,,,,,,
"G11",Absolute Quantification,"ABS","MG011",Ch1Unknown,"v3v4","Manual",1320,QX200 ddPCR EvaGreen Supermix,26400,,,1346,1307,11660,5628,,,,,,17288,,,,,,,,,,,,,,,,,,1,1,10368,22365,7089.9,17392,"Absolute Quantification Experiment",,,,1300,0,,,,,,,,,,,,,
"G12",Absolute Quantification,"ABS","MG012",Ch1Unknown,"v3v4","Manual",1137,QX200 ddPCR EvaGreen Supermix,22740,,,1160,1126,10185,6252,,,,,,16437,,,,,,,,,,,,,,,,,,1,1,10368,22912,6996.4,16858,"Absolute Quantification Experiment",,,,1100,0,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","MH001",Ch1Unknown,"v3v4","Manual",758,QX200 ddPCR EvaGreen Supermix,15160,,,774,750,9238,10217,,,,,,19455,,,,,,,,,,,,,,,,,,1,1,10368,21482,8451.7,14639,"Absolute Quantification Experiment",,,,770,0,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","MG002",Ch1Unknown,"v3v4","Manual",515,QX200 ddPCR EvaGreen Supermix,10300,,,529,508,5122,9325,,,,,,14447,,,,,,,,,,,,,,,,,,1,1,10368,21763,8461,13177,"Absolute Quantification Experiment",,,,520,0,,,,,,,,,,,,,
"H03",Absolute Quantification,"ABS","MH003",Ch1Unknown,"v3v4","Manual",607,QX200 ddPCR EvaGreen Supermix,12140,,,622,599,6181,9154,,,,,,15335,,,,,,,,,,,,,,,,,,1,1,10368,21235,8120.2,13406,"Absolute Quantification Experiment",,,,610,0,,,,,,,,,,,,,
"H04",Absolute Quantification,"ABS","MH004",Ch1Unknown,"v3v4","Manual",978,QX200 ddPCR EvaGreen Supermix,19560,,,997,968,10819,8346,,,,,,19165,,,,,,,,,,,,,,,,,,1,1,10368,21750,7729,15644,"Absolute Quantification Experiment",,,,990,0,,,,,,,,,,,,,
"H05",Absolute Quantification,"ABS","MH005",Ch1Unknown,"v3v4","Manual",583,QX200 ddPCR EvaGreen Supermix,11660,,,604,572,3011,4697,,,,,,7708,,,,,,,,,,,,,,,,,,1,1,10368,21121,7890.7,13059,"Absolute Quantification Experiment",,,,590,0,,,,,,,,,,,,,
"H06",Absolute Quantification,"ABS","MH006",Ch1Unknown,"v3v4","Manual",1160,QX200 ddPCR EvaGreen Supermix,23200,,,1182,1148,11161,6643,,,,,,17804,,,,,,,,,,,,,,,,,,1,1,10368,21552,7325.4,16244,"Absolute Quantification Experiment",,,,1200,0,,,,,,,,,,,,,
"H07",Absolute Quantification,"ABS","MG007",Ch1Unknown,"v3v4","Manual",990,QX200 ddPCR EvaGreen Supermix,19800,,,1010,980,10200,7726,,,,,,17926,,,,,,,,,,,,,,,,,,1,1,10368,21960,7189.1,15594,"Absolute Quantification Experiment",,,,1000,0,,,,,,,,,,,,,
"H08",Absolute Quantification,"ABS","MH008",Ch1Unknown,"v3v4","Manual",821,QX200 ddPCR EvaGreen Supermix,16420,,,842,811,6489,6428,,,,,,12917,,,,,,,,,,,,,,,,,,1,1,10368,22403,7376.6,14925,"Absolute Quantification Experiment",,,,830,0,,,,,,,,,,,,,
"H09",Absolute Quantification,"ABS","MH009",Ch1Unknown,"v3v4","Manual",1499,QX200 ddPCR EvaGreen Supermix,29980,,,1528,1484,11777,4574,,,,,,16351,,,,,,,,,,,,,,,,,,1,1,10368,22004,7113.5,17838,"Absolute Quantification Experiment",,,,1500,0,,,,,,,,,,,,,
"H10",Absolute Quantification,"ABS","MH010",Ch1Unknown,"v3v4","Manual",1019,QX200 ddPCR EvaGreen Supermix,20380,,,1041,1007,8623,6262,,,,,,14885,,,,,,,,,,,,,,,,,,1,1,10368,22418,6991.4,15928,"Absolute Quantification Experiment",,,,1000,0,,,,,,,,,,,,,
"H11",Absolute Quantification,"ABS","MH011",Ch1Unknown,"v3v4","Manual",1063,QX200 ddPCR EvaGreen Supermix,21260,,,1086,1051,8688,5916,,,,,,14604,,,,,,,,,,,,,,,,,,1,1,10368,22872,7104.4,16485,"Absolute Quantification Experiment",,,,1100,0,,,,,,,,,,,,,
"H12",Absolute Quantification,"ABS","MH012",Ch1Unknown,"v3v4","Manual",595,QX200 ddPCR EvaGreen Supermix,11900,,,610,587,5975,9078,,,,,,15053,,,,,,,,,,,,,,,,,,1,1,10368,23552,6932.6,13530,"Absolute Quantification Experiment",,,,600,0,,,,,,,,,,,,,
